Country,Wave,Start,Peak,End,Peak daily cases,SEIR R0,Rt at peak,"Doubling time (d, early)","Attack rate, reported","Attack rate, adjusted"
Bangladesh,1,2020-04,2020-06,2021-02,"3,810",1.91,1.01,12.9,0.31%,7.8%
Bangladesh,2,2021-02,2021-04,2021-05,"7,000",2.92,1.06,20.3,0.14%,3.5%
Bangladesh,3,2021-05,2021-07,2021-11,"14,477",1.88,1.00,22.8,0.46%,11.6%
Bangladesh,4,2021-11,2022-01,2022-05,"14,313",1.81,1.11,58.5,0.22%,5.6%
Bangladesh,5,2022-05,2022-07,2022-08,"1,957",2.91,1.15,25.5,0.03%,0.8%
India,1,2020-06,2020-09,2021-02,"93,198",2.94,1.01,24.0,0.74%,14.8%
India,2,2021-02,2021-05,2021-12,"391,232",3.52,1.02,29.8,1.68%,33.7%
India,3,2021-12,2022-01,2022-02,"311,982",2.07,1.08,4.4,0.55%,11.1%
Pakistan,1,2020-04,2020-06,2020-08,"6,533",2.41,1.03,13.7,0.12%,2.1%
Pakistan,2,2020-08,2020-12,2021-02,"3,261",1.16,1.02,18.1,0.11%,2.0%
Pakistan,3,2021-02,2021-04,2021-06,"5,694",2.24,1.00,54.1,0.16%,2.9%
Pakistan,4,2021-06,2021-08,2021-12,"4,792",1.82,1.05,16.1,0.14%,2.6%
Pakistan,5,2021-12,2022-01,2022-04,"7,198",2.22,1.08,17.3,0.10%,1.8%
Pakistan,6,2022-04,2022-07,2022-08,842,1.39,1.10,1.0,0.02%,0.3%
